অগ্র(agro)	পশ্চাৎ(pashchat)
কৃতজ্ঞ(krutogno)	অকৃতজ্ঞ(okrutogno)
জ্ঞেয়(gnye)	অজ্ঞেয়(agnye)
কৃত্রিম(krutrim)	স্বাভাবিক(swabhavik)
জ্বলন(jolon)	নির্বাপণ(nirbapon)
কৃপণ(kripon)	উদার(udar)
টাটকা(tatka)	বাসি(basi)
কেজো(kejo)	অকেজো(okejo)
ঠকা(thoka)	জেতা(jeta)
কোমল(komol)	কর্কশ(korkosh)
তফাত(tofot)	কাছে(kache)
খাঁটি(khanti)	ভেজাল(bhejal)
তিরস্কার(tiraskar)	পুরস্কার(puraskar)
খাতক(khatok)	মহাজন(mahajan)
তেজী(teji)	নিস্তেজ(nistej)
খানিক(khanik)	অধিক(odhik)
ত্বরিত(tvorit)	খুঁত(khut)
নিখুঁত(nikhuto)	দাতা(data)
গ্রহীতা(grohita)	খুচরা(khuchra)
পাইকারি	(paikari)	দীর্ঘ(dirgho)
গরিষ্ঠ(gorishtho)	লঘিষ্ঠ(loghisto)
দুর্মতি(dormoti)	সুমতি	(sumoti)
ব্যক্ত(byokto)	দুষ্ট(dustho)
শিষ্ট(shishto)	দুষ্ট(dushtho)
গৃহী(grihi)	সন্ন্যাসী(sannyasi)
দূর(dur)	নিকট(nikot)
গ্রহণ(grohon)	বর্জন(borjon)
দোষী(doshi)	নির্দোষ(nirodos)
ঘাটতি(ghati)	বাড়তি(barti)
ধনী(dhoni)	দরিদ্র(doridro)
ঘাত(ghat)	প্রতিঘাত(protighat)
নিশ্চেষ্ট(nichesto)	সচেষ্ট(sochesto)
চেতন(chetan)	অচেতন(achetan)
নিদ্রিত(nidrito)	জাগ্রত(jagroto)
নিন্দা(ninda)	প্রশংসা(proshongsha)
ভীরু(bhiru)	নির্ভিক(nirbhik)
পন্ড(pond)	সফল(sofol)
ভূত(bhoot)	ভবিষাৎ(bhobishat)
পথ(poth)	বিপথ(bipoth)
ভোঁতা(bhonta)	ধারালো(dharalo)
পুষ্ট(pushto)	ক্ষীণ(kheen)
মান(man)	অপমান(opman)
প্রত্যক্ষ(protokkho)	পরোক্ষ(poroikkho)
মুখ্য(mukhyo)	গৌণ(goun)
প্রফুল্ল(profullo)	বিমর্ষ(bimorsho)
মৃদু(mridu)	প্রবল(probol)
প্রবল(prob)	দুর্বল(durbol)
মৌন(maun)	মুখর(mukhro)
প্রখরতা(prokhorota)	স্নিগ্ধতা(snigdhota)
খাচিত(khachito)	অযাচিত(oyachito)
প্রাচী(prachhi)	প্রতীচী(protichhi)
যুক্ত(jukto)	বিযুক্ত(bijukto)
প্রাচ্য(prachyo)	প্রতীচ্য	(protichyo)
রত(rot)	বিরত(birat)
বন্ধন	(bondhon)	মুক্তি(mukti)
রদ(rod)	চালু(chalu)
বলবান(bolbon)	দুর্বল(durbol)
রসিক(rosik)	বেরসিক(bersik)
বাউন্ডুলে(boundule)	সংসারী(songshari)
রিক্ত(rikto)	পূর্ণ(purno)
বাচাল(bachal)	স্বল্পভাষী(swolpo bhashi)
রুগ্ম(rugmo)	সুস্থ(susto)
বাদী(badi)	বিবাদী(bibadi)
রোগ(rog)	নীরোগ(nirog)
বিচ্ছেদ(bichchhed)	সন্ধি(sondhi)
লঘু	(laghu)	গরিষ্ঠ(gorishtho)
বিশেষ(bishesh)	সামান্য(samanya)
লাভ(lav)	ক্ষতি(khoti)
ব্যর্থ(byorth)	সার্থকতা(sarthokota)
হার(har)	জিত(jit)
সুন্দর(shundor)	কুৎসিত(kutsit)
হাল(hal)	সাবেক(sabek)
সুবহ(subho)	দুর্বহ(durbho)
হালকা(halka)	ভারী(bhari)
সুলভ(sulov)	দুর্লভ(durlov)
হ্রাস(hrash)	বৃদ্ধি(briddhi)
